Date,Sitting_CID,MP_Name,Attendance,MP_Name_Title
2012-09-11,012-001-089-007,Foo Mee Har ,True,Ms Foo Mee Har (West Coast).
2012-09-11,012-001-089-007,Grace Fu Hai Yien ,True,"Ms Grace Fu Hai Yien (Yuhua), Minister, Prime Minister's Office, Second Minister for the Environment and Water Resources and Second Minister for Foreign Affairs."
2012-09-11,012-001-089-007,Gan Kim Yong ,True,"Mr Gan Kim Yong (Chua Chu Kang), Minister for Health and Government Whip."
2012-09-11,012-001-089-007,Gan Thiam Poh ,True,Mr Gan Thiam Poh (Pasir Ris-Punggol).
2012-09-11,012-001-089-007,Gerald Giam Yean Song ,True,Mr Gerald Giam Yean Song (Non-Constituency Member).
2012-09-11,012-001-089-007,Heng Chee How ,True,"Mr Heng Chee How (Whampoa), Senior Minister of State, Prime Minister's Office and Deputy Leader of the House."
2012-09-11,012-001-089-007,Hri Kumar Nair ,True,Mr Hri Kumar Nair (Bishan-Toa Payoh).
2012-09-11,012-001-089-007,Inderjit Singh ,True,Mr Inderjit Singh (Ang Mo Kio).
2012-09-11,012-001-089-007,Intan Azura Mokhtar ,True,Dr Intan Azura Mokhtar (Ang Mo Kio).
2012-09-11,012-001-089-007,Janil Puthucheary ,True,Dr Janil Puthucheary (Pasir Ris-Punggol).
2012-09-11,012-001-089-007,Khaw Boon Wan ,True,"Mr Khaw Boon Wan (Sembawang), Minister for National Development."
2012-09-11,012-001-089-007,Amy Khor Lean Suan ,True,"Dr Amy Khor Lean Suan (Hong Kah North), Minister of State for Health and Manpower and Deputy Government Whip."
2012-09-11,012-001-089-007,Lee Bee Wah ,True,Er Dr Lee Bee Wah (Nee Soon).
2012-09-11,012-001-089-007,Desmond Lee ,True,Mr Desmond Lee (Jurong).
2012-09-11,012-001-089-007,Ellen Lee ,True,Ms Ellen Lee (Sembawang).
2012-09-11,012-001-089-007,Lee Hsien Loong ,True,"Mr Lee Hsien Loong (Ang Mo Kio), Prime Minister."
2012-09-11,012-001-089-007,Lee Yi Shyan ,True,"Mr Lee Yi Shyan (East Coast), Senior Minister of State for National Development and Trade and Industry."
2012-09-11,012-001-089-007,Liang Eng Hwa ,True,Mr Liang Eng Hwa (Holland-Bukit Timah).
2012-09-11,012-001-089-007,Mary Liew ,True,Ms Mary Liew (Nominated Member).
2012-09-11,012-001-089-007,Lim Biow Chuan ,True,Mr Lim Biow Chuan (Mountbatten).
2012-09-11,012-001-089-007,Lim Hng Kiang ,True,"Mr Lim Hng Kiang (West Coast), Minister for Trade and Industry."
2012-09-11,012-001-089-007,Lim Swee Say ,True,"Mr Lim Swee Say (East Coast), Minister, Prime Minister's Office."
2012-09-11,012-001-089-007,Sylvia Lim ,True,Ms Sylvia Lim (Aljunied).
2012-09-11,012-001-089-007,Lim Wee Kiak ,True,Dr Lim Wee Kiak (Nee Soon).
2012-09-11,012-001-089-007,Low Thia Khiang ,True,Mr Low Thia Khiang (Aljunied).
2012-09-11,012-001-089-007,Low Yen Ling ,True,Ms Low Yen Ling (Chua Chu Kang).
2012-09-11,012-001-089-007,Lui Tuck Yew ,True,"Mr Lui Tuck Yew (Moulmein-Kallang), Minister for Transport"
2012-09-11,012-001-089-007,Masagos Zulkifli B M M ,True,"Mr Masagos Zulkifli B M M (Tampines), Senior Minister of State for Home Affairs and Foreign Affairs."
2012-09-11,012-001-089-007,Mohamad Maliki Bin Osman ,True,"Dr Mohamad Maliki Bin Osman (East Coast), Senior Parliamentary Secretary to the Minister for Defence and Minister for National Development."
2012-09-11,012-001-089-007,Muhamad Faisal Bin Abdul Manap ,True,Mr Muhamad Faisal Bin Abdul Manap (Aljunied).
2012-09-11,012-001-089-007,Dr Muhammad Faishal Ibrahim ,True,"Assoc Prof Dr Muhammad Faishal Ibrahim (Nee Soon), Parliamentary Secretary to the Minister for Health and Minister for Transport."
2012-09-11,012-001-089-007,Lily Neo ,True,Dr Lily Neo (Tanjong Pagar).
2012-09-11,012-001-089-007,David Ong ,True,Mr David Ong (Jurong).
2012-09-11,012-001-089-007,Ong Teng Koon ,True,Mr Ong Teng Koon (Sembawang).
2012-09-11,012-001-089-007,Denise Phua Lay Peng ,True,Ms Denise Phua Lay Peng (Moulmein-Kallang).
2012-09-11,012-001-089-007,Png Eng Huat ,True,Mr Png Eng Huat (Hougang).
2012-09-11,012-001-089-007,Pritam Singh ,True,Mr Pritam Singh (Aljunied).
2012-09-11,012-001-089-007,Seah Kian Peng ,True,"Mr Seah Kian Peng (Marine Parade), Deputy Speaker."
2012-09-11,012-001-089-007,Seng Han Thong ,True,Mr Seng Han Thong (Ang Mo Kio).
2012-09-11,012-001-089-007,Sim Ann ,True,"Ms Sim Ann (Holland-Bukit Timah), Senior Parliamentary Secretary to the Minister for Education and Minister for Law."
2012-09-11,012-001-089-007,Sitoh Yih Pin ,True,Mr Sitoh Yih Pin (Potong Pasir).
2012-09-11,012-001-089-007,Tan Chuan-Jin ,True,"Mr Tan Chuan-Jin (Marine Parade), Acting Minister for Manpower and Senior Minister of State for National Development."
2012-09-11,012-001-089-007,Tan Kheng Boon Eugene ,True,Asst Prof Tan Kheng Boon Eugene (Nominated Member).
2012-09-11,012-001-089-007,Jessica Tan Soon Neo ,True,Ms Jessica Tan Soon Neo (East Coast).
2012-09-11,012-001-089-007,Tan Su Shan ,True,Ms Tan Su Shan (Nominated Member).
2012-09-11,012-001-089-007,Patrick Tay Teck Guan ,True,Mr Patrick Tay Teck Guan (Nee Soon).
2012-09-11,012-001-089-007,Teo Chee Hean ,True,"Mr Teo Chee Hean (Pasir Ris-Punggol), Deputy Prime Minister and Coordinating Minister for National Security and Minister for Home Affairs."
2012-09-11,012-001-089-007,Teo Ho Pin ,True,"Dr Teo Ho Pin (Bukit Panjang), Deputy Government Whip."
2012-09-11,012-001-089-007,Josephine Teo ,True,"Mrs Josephine Teo (Bishan-Toa Payoh), Minister of State for Finance and Transport."
2012-09-11,012-001-089-007,Teo Siong Seng ,True,Mr Teo Siong Seng (Nominated Member).
2012-09-11,012-001-089-007,Tharman Shanmugaratnam ,True,"Mr Tharman Shanmugaratnam (Jurong), Deputy Prime Minister and Minister for Finance."
2012-09-11,012-001-089-007,Tin Pei Ling ,True,Ms Tin Pei Ling (Marine Parade).
2012-09-11,012-001-089-007,Edwin Tong Chun Fai ,True,Mr Edwin Tong Chun Fai (Moulmein-Kallang).
2012-09-11,012-001-089-007,Vikram Nair ,True,Mr Vikram Nair (Sembawang).
2012-09-11,012-001-089-007,Vivian Balakrishnan ,True,"Dr Vivian Balakrishnan (Holland-Bukit Timah), Minister for the Environment and Water Resources."
2012-09-11,012-001-089-007,Wong Kan Seng ,True,Mr Wong Kan Seng (Bishan-Toa Payoh).
2012-09-11,012-001-089-007,Lawrence Wong ,True,"Mr Lawrence Wong (West Coast), Senior Minister of State for Education and Information, Communications and the Arts."
2012-09-11,012-001-089-007,Dr Yaacob Ibrahim ,True,"Assoc Prof Dr Yaacob Ibrahim (Moulmein-Kallang), Minister for Information, Communications and the Arts and Minister-in-charge of Muslim Affairs."
2012-09-11,012-001-089-007,Alex Yam ,True,Mr Alex Yam (Chua Chu Kang).
2012-09-11,012-001-089-007,Yeo Guat Kwang ,True,Mr Yeo Guat Kwang (Ang Mo Kio).
2012-09-11,012-001-089-007,Zainal Sapari ,True,Mr Zainal Sapari (Pasir Ris-Punggol).
2012-09-11,012-001-089-007,Zainudin Nordin ,True,Mr Zainudin Nordin (Bishan-Toa Payoh).
2012-09-11,012-001-089-007,Zaqy Mohamad ,True,Mr Zaqy Mohamad (Chua Chu Kang).
